name,slug,url,ror,description
HPC Capentry,hpc-carpentry,https://www.hpc-carpentry.org,,
CodeRefinery,coderefinery,https://coderefinery.org,,
UK Government,uk-government,https://gov.uk,,
Greg Wilson,greg-wilson,https://third-bit.com/about/,,
Software Carpentry,software-carpentry,https://software-carpentry.org/,,
NNGroup,nngroup,https://www.nngroup.com/,,
Opensource.com,opensource-com,https://opensource.com/,,
CHAOSS,chaoss,https://chaoss.community/,,
Open Source Guides,open-source-guides,https://opensource.guide/,,
Research Software Engineering with Python (Irving et al),research-software-engineering-with-python-irving-et-al,https://third-bit.com/py-rse/,,
Scientist Sees Squirrel,scientist-sees-squirrel,https://scientistseessquirrel.wordpress.com/,,
Acas,acas,https://www.acas.org.uk/,,
GitHub,github,https://github.com/,,
UK Research and Innovation (UKRI),uk-research-and-innovation-ukri,https://www.ukri.org/,,
Economic and Social Research Council (ESRC),economic-and-social-research-council-esrc,https://www.ukri.org/councils/esrc/,,
University of York,university-of-york,https://www.york.ac.uk/,,
University of West London,university-of-west-london,https://www.uwl.ac.uk/,https://ror.org/03e5mzp60,
WebAIM,webaim,https://webaim.org/,,
EVERSE,everse,https://everse.software/,,
Wikipedia,wikipedia,https://www.wikipedia.org/,,
W3C,w3c,https://www.w3.org/,https://ror.org/0059y1582,
UWE Bristol,uwe-bristol,https://www.uwe.ac.uk/,https://ror.org/02nwg5t34,
University of Sheffield,university-of-sheffield,https://www.sheffield.ac.uk/,https://ror.org/05krs5044,
University of Liverpool,university-of-liverpool,https://www.liverpool.ac.uk/,https://ror.org/04xs57h96,
TOP500,top500,https://www.top500.org/,,
TLDRLegal,tldrlegal,https://tldrlegal.com/,,
The University of Manchester,the-university-of-manchester,https://www.manchester.ac.uk/,https://ror.org/027m9bs27,
The Turing Way,the-turing-way,https://the-turing-way.netlify.app/,https://ror.org/035dkdb55,
The Carpentries,the-carpentries,https://carpentries.org/,https://ror.org/0356fgm10,
Stone and Heen,stone-and-heen,https://stoneandheen.com/,,
Stack Overflow,stack-overflow,https://stackoverflow.com/,,
Software Sustainability Institute,software-sustainability-institute,https://www.software.ac.uk/,https://ror.org/0455awd29,
Scientific Python Library Development Guide,scientific-python-library-development-guide,https://learn.scientific-python.org/development/,,
RStudio,rstudio,https://posit.co/,,
rOpenSci,ropensci,https://ropensci.org/,,
Research Data Oxford,research-data-oxford,https://researchdata.ox.ac.uk/,https://ror.org/052gg0110,
Reproducibility Rocks,reproducibility-rocks,http://reproducibility.rocks/,,
RedHat,redhat,https://www.redhat.com/,,
pyOpenSci,pyopensci,https://www.pyopensci.org/,,
PTP,ptp,https://www.ptptraining.com/,,
Open University,open-university,https://www.open.ac.uk/,https://ror.org/05mzfcs16,
OLS,ols,https://openlifesci.org/,https://ror.org/02epwtt47,
NVIDIA,nvidia,https://www.nvidia.com/,,
"Mitchel, M. et al",mitchel-m-et-al,https://www.m-mitchell.com/,,
MetaDocencia,metadocencia,https://www.metadocencia.org/,,
Library Carpentry,library-carpentry,https://librarycarpentry.org/,,
Kaggle,kaggle,https://www.kaggle.com/,,
HBR Handbooks,hbr-handbooks,https://hbr.org/,,
Green Software Foundation,green-software-foundation,https://greensoftware.foundation/,,
Erin Meyer,erin-meyer,https://erinmeyer.com/,,
ELIXIR Europe,elixir-europe,https://elixir-europe.org/,https://ror.org/044rwnt51,
Digital Humanities Climate Coalition,digital-humanities-climate-coalition,https://digitalhumanities-uk-ie.org/community-interest-groups/digital-humanities-climate-coalition/,,
Diátaxis,ditaxis,https://diataxis.fr/,,
DCC,dcc,https://www.dcc.ac.uk/,https://ror.org/01k9d6864,
Data Carpentry,data-carpentry,https://datacarpentry.org/,,
CSCCE: Center for Scientific Collaboration and Community Engagement,cscce-center-for-scientific-collaboration-and-community-engagement,https://www.cscce.org/,https://ror.org/03xaryf14,
Code Review Anxiety Workbook,code-review-anxiety-workbook,https://developer-success-lab.gitbook.io/code-review-anxiety-workbook-1,,
Cloud Native,cloud-native,https://www.cncf.io/,,
Choose an open source license,choose-an-open-source-license,https://choosealicense.com/,,
AWS,aws,https://aws.amazon.com/,,
ACM Digital Library,acm-digital-library,https://dl.acm.org/,,
