name,description,level,short_description,focus
Expert,"Technical: highly skilled and independent; handles complex and unfamiliar challenges; recognised as an authority in the skill area, often mentoring others. creates new applications, contributes to or leads the development of reference and resource materials, and integrates the skill into wider systems, projects, or organisations.
Non-technical: demonstrates exemplary use of the skill, adapting flexibly to complex or sensitive situations; mentors others, shapes cultural or systemic improvements, and applies the skill to influence organisational or sector-wide practices.",4,Leading and/or being a recognised authority,"designing new solutions, setting strategy, and shaping organisational or systemic direction through analysis, evaluation, and creation"
Practitioner,"Technical: applies skills confidently across a range of tasks; adapts existing solutions to challenges and supports peers; may occasionally require expert guidance; understands and can discuss the application and implications of changes to processes and policies in the skill area; contributes to reference and resource materials.
Non-technical: consistently applies the skill with confidence; demonstrates maturity, self-reflection, and constructive collaboration and interaction with others; communicates effectively with varied audiences to enhance understanding and foster shared practice.",3,Practical application by a competent (intermediate to advanced) practitioner,"applying established practices, adapting to challenges, and deepening expertise and skill"
Working,"Technical: has the level of experience gained in a classroom or as a trainee on-the-job; applies the skill with some independence in familiar situations, still needs guidance when applying the skill but can draw on a range of reference materials; understands and can discuss terminology, concepts, principles, and issues related to this skill.
Non-technical: understands the principles and issues; begins to reflect on practice and adapt behaviour.",2,Novice (limited experience) or emerging ability,developing understanding and gaining independence through practice
Awareness,"Technical: has basic knowledge of the area and understands core techniques and concepts; can follow instructions and perform simple tasks with support, but the application of the skill is limited.
Non-technical: recognises the importance of the skill, shows initial effort, and applies it inconsistently or only in simpler contexts.
",1,Fundamental awareness (basic knowledge) or fundamental ability,learning and remembering
None or N/A,"No ability demonstrated, or the skill is not required or applicable to the role.",0,No ability or not applicable,
